cs.washington.edu 1 169
comcast.net 2 99
u.washington.edu 3 84
gmail.com 4 71
69.91.146.150 5 6
69.91.165.22 6 4
69.91.164.151 7 3
69.91.157.12 8 2
192.168.0.101 9 1
10.0.7.96 10 1
