uid, timestamp, left army, towers, gold lost, right army, type
cgs_4de59757b935b, 0, 1 1 2 1 2 1 2 2 2 2, -1 20 9 -1 11 9 -1 21 9 -1 10 11 , 14, 2 1 2 2 1 1 1, request
cgs_4de58991aaf44, 0, -1 8 8 -1 7 8 -1 6 8 -1 5 8 -1 27 10 -1 26 8 -1 25 8 -1 24 8 -1 23 8 -1 29 12 -1 29 13 -1 29 14 -1 29 15 -1 29 16 -1 2 12 -1 2 17 -1 29 17 -1 27 12 -1 27 14 -1 27 16 -1 3 12 -1 3 14 -1 3 16 -1 3 0 -1 2 0 -1 2 1 -1 2 2 -1 2 3 -1 2 4 -1 26 0 -1 26 2 -1 26 4 -1 4 0 -1 4 2 -1 4 4 -1 3 10 -1 2 13 -1 2 14 -1 2 15 -1 2 16 -1 29 11 -1 3 2 -1 3 4 -1 2 5 -1 28 0 -1 28 2 -1 28 4 -1 29 0 -1 29 1 -1 29 2 -1 29 3 -1 29 4 -1 29 5 -1 2 11 -1 28 6 , 15 17 5 15 8 14 1 10 1017 1 9 8 10 4 15 1 5 11 3 3 3 15 11 1 1 13 1017 7 1 16 11 8 10 7 14 8 8 1018 4 9 3 1018 4 11 3 2 4 7 1017 1018 2 7 2 14 7 9 3 13 16 2 2 4 1017 14 10 8 13 16 3 14 15 14 14 2 2 2 12 9 10 10 1 15 11 1 2 14 1 10 4 16 15 12 14 1018 2 10 10, 1954, 15 12 8 3 2 7 1017 2 15 10 1017 1 2 4 11 7 5 9 17 15 4 13 14 16 8 8 14 1018 15 2 7 1 8 1 16 4 15 11 9 1017 17 10 13 16 12 1018 13 5 13 10 16 9 16 1018 7 13 17 1017 9 1 8 12 15 16 1018 14 7 4 15 13 1018 13 14 4 12 2 13 1018 2 16 1 7 10 13 1017 8 8 4 3 12 9, request
cgs_4de577ba7afda, 0, 364, -1 26 9 -1 25 8 -1 6 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 8 8 -1 9 0 -1 9 4 -1 23 4 -1 23 0 -1 4 9 -1 28 11 -1 3 11 -1 2 11 -1 29 11 -1 27 9 -1 5 9 -1 6 2 -1 6 5 , request, 15 13 16 5 4 4 7 16 12 2 4 12 4 5 12 8 8 1 5 2 1 9 3 9 5 2 16 1 9 9 14 8 12 9 13 12 2 5 16 13 13 16 7 5, 14 13 7 13 9 9 14 1 12 12 16 8 16 16 5 1 13 15 5 3 13 2 7 13 3 2 7 12 17 17 2 4 1 3 12 9 8 12 2 9 9
cgs_4de577ba7afda, 0, 112, -1 26 9 -1 25 8 -1 5 9 -1 6 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 8 8 -1 23 8 -1 29 11 -1 7 0 -1 23 4 -1 7 4 -1 23 0 -1 2 11 -1 3 11 -1 28 11 -1 27 9 , request, 2 12 12 1 8 14 1 8 12 8 5 16 5 2 2 5 5 14 7 14 8 1 3 7 13 9 5 14 3 2 5 3 12 9 13 13 8 1 15, 2 7 3 4 3 13 17 9 9 4 3 9 1 2 16 14 4 9 9 3 9 2 5 2 13 9 15 3 3 8 1 8 9 3 12 16 13 4 15 16 4
cgs_4de577ba7afda, 0, 159, -1 26 9 -1 27 9 -1 25 8 -1 5 9 -1 4 9 -1 6 8 -1 24 8 -1 7 8 -1 2 12 -1 2 14 -1 2 16 -1 29 12 -1 29 14 -1 29 16 -1 28 15 -1 8 8 -1 23 8 -1 5 4 -1 23 0 -1 2 11 -1 29 11 -1 28 11 -1 7 0 -1 23 4 -1 3 11 , request, 2 12 12 1 8 14 1 8 12 8 5 16 5 2 2 5 5 14 7 14 8 1 3 7 13 9 5 14 3 2 5 3 12 9 13 13 8 1 15, 2 7 3 4 3 13 17 9 9 4 3 9 1 2 16 14 4 9 9 3 9 2 5 2 13 9 15 3 3 8 1 8 9 3 12 16 13 4 15 16 4
